frame,time_sec,id,role,status,danger
10451,348.71,19,manager,DANGEROUS SITUATION,1
10452,348.74,14,darkmechanic,IDLE,0
10452,348.74,19,manager,DANGEROUS SITUATION,1
10453,348.77,14,darkmechanic,IDLE,0
10454,348.81,14,darkmechanic,IDLE,0
10455,348.84,14,darkmechanic,IDLE,0
10456,348.87,14,darkmechanic,IDLE,0
10457,348.91,14,darkmechanic,IDLE,0
10458,348.94,14,darkmechanic,IDLE,0
10459,348.97,14,darkmechanic,IDLE,0
10460,349.01,14,darkmechanic,IDLE,0
10461,349.04,14,darkmechanic,IDLE,0
10462,349.08,14,darkmechanic,IDLE,0
10463,349.11,14,darkmechanic,IDLE,0
10464,349.14,14,darkmechanic,IDLE,0
10465,349.18,14,darkmechanic,IDLE,0
10466,349.21,14,darkmechanic,IDLE,0
10467,349.24,14,darkmechanic,IDLE,0
10468,349.28,14,darkmechanic,IDLE,0
10469,349.31,14,darkmechanic,IDLE,0
10470,349.34,14,darkmechanic,IDLE,0
10471,349.38,14,darkmechanic,IDLE,0
10472,349.41,14,darkmechanic,IDLE,0
10473,349.44,14,darkmechanic,IDLE,0
10474,349.48,14,darkmechanic,IDLE,0
10475,349.51,14,darkmechanic,IDLE,0
10476,349.54,14,darkmechanic,IDLE,0
10477,349.58,14,darkmechanic,IDLE,0
10478,349.61,14,darkmechanic,IDLE,0
10479,349.64,14,darkmechanic,IDLE,0
10480,349.68,14,darkmechanic,IDLE,0
10481,349.71,14,darkmechanic,IDLE,0
10482,349.74,14,darkmechanic,IDLE,0
10483,349.78,14,darkmechanic,IDLE,0
10484,349.81,14,darkmechanic,IDLE,0
10485,349.84,14,darkmechanic,IDLE,0
10486,349.88,14,darkmechanic,IDLE,0
10487,349.91,14,darkmechanic,IDLE,0
10488,349.94,14,darkmechanic,IDLE,0
10489,349.98,14,darkmechanic,IDLE,0
10490,350.01,14,darkmechanic,IDLE,0
10491,350.04,14,darkmechanic,IDLE,0
10492,350.08,14,darkmechanic,IDLE,0
10493,350.11,14,darkmechanic,IDLE,0
10494,350.14,14,darkmechanic,IDLE,0
10495,350.18,14,darkmechanic,IDLE,0
10496,350.21,14,darkmechanic,IDLE,0
10497,350.24,14,darkmechanic,IDLE,0
10498,350.28,14,darkmechanic,IDLE,0
10499,350.31,14,darkmechanic,IDLE,0
10500,350.34,14,darkmechanic,IDLE,0
10501,350.38,14,darkmechanic,IDLE,0
10502,350.41,14,darkmechanic,IDLE,0
10503,350.44,14,darkmechanic,IDLE,0
10504,350.48,14,darkmechanic,IDLE,0
10505,350.51,14,darkmechanic,IDLE,0
10506,350.54,14,darkmechanic,IDLE,0
10507,350.58,14,darkmechanic,IDLE,0
10508,350.61,14,darkmechanic,IDLE,0
10509,350.64,14,darkmechanic,IDLE,0
10510,350.68,14,darkmechanic,IDLE,0
10511,350.71,14,darkmechanic,IDLE,0
10512,350.74,14,darkmechanic,IDLE,0
10513,350.78,14,darkmechanic,IDLE,0
10514,350.81,14,darkmechanic,IDLE,0
10515,350.84,14,darkmechanic,IDLE,0
10516,350.88,14,darkmechanic,IDLE,0
10517,350.91,14,darkmechanic,IDLE,0
10518,350.94,14,darkmechanic,IDLE,0
10519,350.98,14,darkmechanic,IDLE,0
10520,351.01,14,darkmechanic,IDLE,0
10521,351.04,14,darkmechanic,IDLE,0
10522,351.08,14,darkmechanic,IDLE,0
10523,351.11,14,darkmechanic,IDLE,0
10524,351.14,14,darkmechanic,IDLE,0
10525,351.18,14,darkmechanic,IDLE,0
10526,351.21,14,darkmechanic,IDLE,0
10527,351.24,14,darkmechanic,IDLE,0
10528,351.28,14,darkmechanic,IDLE,0
10529,351.31,14,darkmechanic,IDLE,0
10530,351.34,14,darkmechanic,IDLE,0
